name,address,lat,long,description,State,Market City,Frequency,Format,Tower,Slogan,Avails,Spot Rate,Transmitter Location,unnamed (1),Location
WBRI-AM,"VWC6+4QG Indianapolis, Indiana",39.8703125,34.9531375,"State: IN<br>Market City: Indianapolis<br>Frequency: 96.7 FM<br>1500 AM<br>Format: Religious<br>Tower: VWC6+4QG Indianapolis, Indiana<br>Slogan: ""Radio That Changes the Way You Live""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $30 ",<value>IN</value>,<value>Indianapolis</value>,"<value>96.7 FM
1500 AM</value>",<value>Religious</value>,"<value>VWC6+4QG Indianapolis, Indiana</value>","<value>""Radio That Changes the Way You Live""</value>",<value>6A-7P 2/HR.</value>,<value>$30 </value>,,,
WBXR,"X934+722 Hazel Green, Alabama",34.9531375,-86.6449844,"State: AL<br>Market City: Huntsvile<br>Frequency: 101.3 FM<br>1140 AM<br>Format: Religious<br>Tower: X934+722 Hazel Green, Alabama<br>Slogan: ""Radio That Changes the Way You Live""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $30 ",<value>AL</value>,<value>Huntsvile</value>,"<value>101.3 FM
1140 AM</value>",<value>Religious</value>,"<value>X934+722 Hazel Green, Alabama</value>","<value>""Radio That Changes the Way You Live""</value>",<value>6A-7P 2/HR.</value>,<value>$30 </value>,,,
WBZX,"MM68+VMR Rodney, Michigan",43.6622375,-85.3333594,"State: MI<br>Market City: Big Rapids<br>Frequency: 103.9 FM<br>Format: 80's and More<br>Tower: MM68+VMR Rodney, Michigan<br>Slogan: ""B103.9""<br>Avails: 6A - 7P<br>Spot Rate: $25 ",<value>MI</value>,<value>Big Rapids</value>,<value>103.9 FM</value>,<value>80's and More</value>,"<value>MM68+VMR Rodney, Michigan</value>","<value>""B103.9""</value>",<value>6A - 7P</value>,<value>$25 </value>,,,
WCDY,"5MC7+C4V Haring Charter Township, Michigan",44.1711125,-85.3372031,"State: MI<br>Market City: Cadillac<br>Frequency: 107.9 FM<br>Format: Top 40<br>Tower: 5MC7+C4V Haring Charter Township, Michigan<br>Slogan: ""Cadillac's #1 Hit Music Station""<br>Avails: 6A - 7P<br>Spot Rate: $35 ",<value>MI</value>,<value>Cadillac</value>,<value>107.9 FM</value>,<value>Top 40</value>,"<value>5MC7+C4V Haring Charter Township, Michigan</value>","<value>""Cadillac's #1 Hit Music Station""</value>",<value>6A - 7P</value>,<value>$35 </value>,,,
WCEI (ROS!!!),"XW44+FR9 Wye Mills, Maryland",38.9561625,-76.0928906,"State: MD<br>Market City: Easton<br>Frequency: 96.7 FM��<br>Format: Mix<br>Tower: XW44+FR9 Wye Mills, Maryland<br>Slog""Best Variety 96.7 FM""<br>Avails: ROS 6-10A, Noon-1, 3-7P<br>Spot Rate: $18.00 ",<value>MD</value>,<value>Easton</value>,<value>96.7 FM��</va,<value>Mix</value>,"<value>XW44+FR9 Wye Mills, Maryland</value>","<value>""Best Variety 96.7 FM""</value>","<value>ROS 6-10A, Noon-1, 3-7P</value>",<value>$18.00 </value>,,,
WCKC,"5MC7+C6R Haring Charter Township, Michigan",44.1711125,-85.3369844,"State: MI<br>Market City: Cadillac<br>Frequency: 107.1 FM<br>Format: Classic Rock<br>Tower: 5MC7+C6R Haring Charter Township, Michigan<br>Slogan: ""107.1 The Drive""<br>Avails: 6A - 7P<br>Spot Rate: $35 ",<value>MI</value>,<value>Cadillac</value>,<value>107.1 FM</value>,<value>Classic Rock</value>,"<value>5MC7+C6R Haring Charter Township, Michigan</value>","<value>""107.1 The Drive""</value>",<value>6A - 7P</value>,<value>$35 </value>,,,
WCPC-AM,"WXHR+F3P Houston, Mississippi",33.9287125,-89.0097969,"State: MS<br>Market City: Tupelo<br>Frequency: 105.7 FM<br>940 AM<br>Format: Religious<br>Tower: WXHR+F3P Houston, Mississippi<br>Slogan: ""Radio That Changes the Way You Live""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $30.00 ",<value>MS</value>,<value>Tupelo</value>,"<value>105.7 FM
940 AM</value>",<value>Religious</value>,"<value>WXHR+F3P Houston, Mississippi</value>","<value>""Radio That Changes the Way You Live""</value>",<value>6A-7P 2/HR.</value>,<value>$30.00 </value>,,,
WCSS-AM,"XR6F+FJF Amsterdam, New York",42.9611875,-74.1759531,"State: NY<br>Market City: Amsterdam<br>Frequency: 1490<br>Format: Classic Hits<br>Tower: XR6F+FJF Amsterdam, New York<br>Slogan: ""Your Classic Hits Station""<br>Avails: 6A-7P 2HR<br>Spot Rate: $5.00<br>Does not keep CC info.",<value>NY</value>,<value>Amsterdam</value>,<value>1490</value>,<value>Classic Hits</value>,"<value>XR6F+FJF Amsterdam, New York</value>","<value>""Your Classic Hits Station""</value>",<value>6A-7P 2HR</value>,"<value>$5.00
Does not keep CC info.</value>",,,
WDBC,"QW74+632 Escanaba, Michigan",45.7630125,-87.0948594,"State: MI<br>Market City: Escabana<br>Frequency: 94.5 FM<br>680 AM<br>Format: Adult Contemporary & Oldies<br>Tower: QW74+632 Escanaba, Michigan<br>Slogan: ""WDBC 94.5""<br>Avails: 6A - 7P<br>Spot Rate: $20 ",<value>MI</value>,<value>Escabana</value>,"<value>94.5 FM
680 AM</value>",<value>Adult Contemporary &amp; Oldies</value>,"<value>QW74+632 Escanaba, Michigan</value>","<value>""WDBC 94.5""</value>",<value>6A - 7P</value>,<value>$20 </value>,,,
WDEE,"Q9JM+HG8 Green Charter Twp, Michigan",43.7814125,-85.6161719,"State: MI<br>Market City: Big Rapids<br>Frequency: 97.3 FM<br>Format: Oldies<br>Tower: Q9JM+HG8 Green Charter Twp, Michigan<br>Slogan: ""Sunny 97.3""<br>Avails: 6A-7P<br>Sunday - Saturday<br>2/Hr.<br>Spot Rate: $10/30 Sec<br>$12/60 Sec",<value>MI</value>,<value>Big Rapids</value>,<value>97.3 FM</value>,<value>Oldies</value>,"<value>Q9JM+HG8 Green Charter Twp, Michigan</value>","<value>""Sunny 97.3""</value>","<value>6A-7P
Sunday - Saturday
2/Hr.</value>","<value>$10/30 Sec
$12/60 Sec</value>",,,
WDJO,"6G66+RF3 Cincinnati, Ohio",39.2120125,-84.4888281,"State: OH<br>Market City: Cincinnati<br>Frequency: 99.5, 107.9,<br>1480 AM<br>Format: Oldies<br>Tower: 6G66+RF3 Cincinnati, Ohio<br>Slogan: ""Oldies 1480""<br>Avails: 6A-7P 2/HR<br>Spot Rate: $25/SPOT Quick Books Link - email",<value>OH</value>,<value>Cincinnati</value>,"<value>99.5, 107.9,
1480 AM</value>",<value>Oldies</value>,"<value>6G66+RF3 Cincinnati, Ohio</value>","<value>""Oldies 1480""</value>",<value>6A-7P 2/HR</value>,<value>$25/SPOT Quick Books Link - email</value>,,,
WDZY,"7J54+98X Colonial Heights, Virginia",37.2584875,-77.3941406,"State: VA<br>Market City: Richmond<br>Frequency: 103.3 FM<br>1290 AM<br>Format: Religious<br>Tower: 7J54+98X Colonial Heights, Virginia<br>Slogan: ""Christian Talk""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $30.00 ",<value>VA</value>,<value>Richmond</value>,"<value>103.3 FM
1290 AM</value>",<value>Religious</value>,"<value>7J54+98X Colonial Heights, Virginia</value>","<value>""Christian Talk""</value>",<value>6A-7P 2/HR.</value>,<value>$30.00 </value>,,,
WELP-AM,"R9Q6+RGC Arial, South Carolina",34.8395625,-82.6387344,"State: SC<br>Market City: Greenville<br>Frequency: 104.3 FM<br>1360 AM<br>Format: Religious<br>Tower: R9Q6+RGC Arial, South Carolina<br>Slogan: ""Radio That Changes the Way You Live""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $30.00 ",<value>SC</value>,<value>Greenville</value>,"<value>104.3 FM
1360 AM</value>",<value>Religious</value>,"<value>R9Q6+RGC Arial, South Carolina</value>","<value>""Radio That Changes the Way You Live""</value>",<value>6A-7P 2/HR.</value>,<value>$30.00 </value>,,,
WFAM,"F346+7JF Augusta, Georgia",33.4556875,-81.9384531,"State: GA<br>Market City: Agusta<br>Frequency: 1050 AM<br>Format: Religious<br>Tower: F346+7JF Augusta, Georgia<br>Slogan: ""Todays Family Talk""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $30.00 ",<value>GA</value>,<value>Agusta</value>,<value>1050 AM</value>,<value>Religious</value>,"<value>F346+7JF Augusta, Georgia</value>","<value>""Todays Family Talk""</value>",<value>6A-7P 2/HR.</value>,<value>$30.00 </value>,,,
WGBN (ROS!!!),"8562+H6J Lincoln, Pennsylvania",40.3114625,-79.8494844,"State: PA<br>Market City: McKeesport<br>Frequency: 1360 AM<br>Format: Gospel Music<br>Tower: 8562+H6J Lincoln, Pennsylvania<br>Slogan: ""Pittsburgh's Power""<br>Avails: ROS 6-10A, Noon-1, 3-7P<br>Spot Rate: $18.00 ",<value>PA</value>,<value>McKeesport</value>,<value>1360 AM</value>,<value>Gospel Music</value>,"<value>8562+H6J Lincoln, Pennsylvania</value>","<value>""Pittsburgh's Power""</value>","<value>ROS 6-10A, Noon-1, 3-7P</value>",<value>$18.00 </value>,,,
WHAK,"93XH+66F Moltke, Michigan",45.3980625,-83.9219531,"State: MI<br>Market City: Rodgers City<br>Frequency: 960 AM<br>Format: Talk<br>Tower: 93XH+66F Moltke, Michigan<br>Slogan: ""WHAK News Radio""<br>Avails: 6A-7P<br>Spot Rate: $20 ",<value>MI</value>,<value>Rodgers City</value>,<value>960 AM</value>,<value>Talk</value>,"<value>93XH+66F Moltke, Michigan</value>","<value>""WHAK News Radio""</value>",<value>6A-7P</value>,<value>$20 </value>,,,
WHB,"8C4F+8WJ Kansas City, Missouri",39.3058375,-94.5752344,"State: MO<br>Market City: Kansas City<br>Frequency: 810AM<br>Format: Sports<br>Tower: 8C4F+8WJ Kansas City, Missouri<br>Slogan: ""Sportsradio 810""<br>Avails: 6-10am $100 11am-2pm $110 3pm-7pm $125<br>Spot Rate: ",<value>MO</value>,<value>Kansas City</value>,<value>810AM</value>,<value>Sports</value>,"<value>8C4F+8WJ Kansas City, Missouri</value>","<value>""Sportsradio 810""</value>",<value>6-10am $100 11am-2pm $110 3pm-7pm $125</value>,<value/>,,,
"WHBE, ESPN","38R9+R44 Louisville, Kentucky",38.0920125,-85.6821719,"State: KY<br>Market City: Newburg<br>Frequency: 680AM<br>Format: Sports<br>Tower: 38R9+R44 Louisville, Kentucky<br>Slogan: ""ESPN Radio 680""<br>Avails: 6A-7P 2/HR<br>Spot Rate: $20.00 ",<value>KY</value>,<value>Newburg</value>,<value>680AM</value>,<value>Sports</value>,"<value>38R9+R44 Louisville, Kentucky</value>","<value>""ESPN Radio 680""</value>",<value>6A-7P 2/HR</value>,<value>$20.00 </value>,,,
WHNN,"H836+427 Hampton Twp, Michigan",43.5527875,-83.6899531,"State: MI<br>Market City: Bay City<br>Frequency: 96.1 FM<br>Format: Adult Contemporary<br>Tower: H836+427 Hampton Twp, Michigan<br>Slogan: ""80's, 90's and Now""<br>Avails: 5A-12A<br>Spot Rate: $40.00 ",<value>MI</value>,<value>Bay City</value>,<value>96.1 FM</value>,<value>Adult Contemporary</value>,"<value>H836+427 Hampton Twp, Michigan</value>","<value>""80's, 90's and Now""</value>",<value>5A-12A</value>,<value>$40.00 </value>,,,
WHPB,"HGFQ+Q2C Pine Hills, Florida",28.5744375,-81.4624844,"State: FL<br>Market City: Orlando<br>Frequency: 98.5 FM<br>Format: Hip Hop R&B<br>Tower: HGFQ+Q2C Pine Hills, Florida<br>Slogan: ""98.5 The Wire""<br>Avails: 6A-7P<br>Spot Rate: $10 ",<value>FL</value>,<value>Orlando</value>,<value>98.5 FM</value>,<value>Hip Hop R&amp;B</value>,"<value>HGFQ+Q2C Pine Hills, Florida</value>","<value>""98.5 The Wire""</value>",<value>6A-7P</value>,<value>$10 </value>,,,
WIJD-FM,"PWW4+C84 Prichard, Alabama",30.7460125,-88.0941719,"State: AL<br>Market City: Mobile<br>Frequency: 1270 AM<br>97.9 FM<br>Format: Religious<br>Tower: PWW4+C84 Prichard, Alabama<br>Slogan: ""Radio That Changes the Way You Live""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $30.00 ",<value>AL</value>,<value>Mobile</value>,"<value>1270 AM
97.9 FM</value>",<value>Religious</value>,"<value>PWW4+C84 Prichard, Alabama</value>","<value>""Radio That Changes the Way You Live""</value>",<value>6A-7P 2/HR.</value>,<value>$30.00 </value>,,,
WINX (ROS!!!),"JWJV+592 Trappe, Maryland",38.6303875,-76.0566094,"State: MD<br>Market City: Saint Michaels<br>Frequency: 94.3 FM<br>Format: Contemporary<br>Tower: JWJV+592 Trappe, Maryland<br>Slogan: ""The Mid-Shore���s Country St""<br>Avails: ROS 6-10A, Noon-1, 3-7P<br>Spot Rate: $18.00 ",<value>MD</value>,<value>Saint Michaels</value>,<value>94.3 FM</value>,<value>Contemporary</value>,"<value>JWJV+592 Trappe, Maryland</value>","<value>""The Mid-Shore���s Country St""</value>","<value>ROS 6-10A, Noon-1, 3-7P</value>",<value>$18.00 </value>,,,
WITK,"86W8+F4H Duryea, Pennsylvania",41.3461875,-75.7846406,"State: PA<br>Market City: WIlkes-Barre/Scranton<br>Frequency: 94.7 FM<br>1550 AM<br>Format: Religious<br>Tower: 86W8+F4H Duryea, Pennsylvania<br>Slogan: ""Radio That Changes the Way You Live""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $30.00 ",<value>PA</value>,<value>WIlkes-Barre/Scranton</value>,"<value>94.7 FM
1550 AM</value>",<value>Religious</value>,"<value>86W8+F4H Duryea, Pennsylvania</value>","<value>""Radio That Changes the Way You Live""</value>",<value>6A-7P 2/HR.</value>,<value>$30.00 </value>,,,
WIWF,"W8F2+R8R Awendaw, South Carolina",32.9246125,-79.6992344,"State: SC<br>Market City: Charleston<br>Frequency: 96.9 FM<br>Format: Classic Hits<br>Tower: W8F2+R8R Awendaw, South Carolina<br>Slogan: ""96.9 The Wolf""<br>Avails: M - F 6am - 7pm<br>Spot Rate: $20 ",<value>SC</value>,<value>Charleston</value>,<value>96.9 FM</value>,<value>Classic Hits</value>,"<value>W8F2+R8R Awendaw, South Carolina</value>","<value>""96.9 The Wolf""</value>",<value>M - F 6am - 7pm</value>,<value>$20 </value>,,,
WKAD,"7CH5+6GG Boon, Michigan",44.2780625,-85.5911719,"State: MI<br>Market City: Harrietta<br>Frequency: 93.7 FM<br>Format: Sports Talk<br>Tower: 7CH5+6GG Boon, Michigan<br>Slogan: ""The Ticket""<br>Avails: M-F 6A-7P<br>Spot Rate: $30 ",<value>MI</value>,<value>Harrietta</value>,<value>93.7 FM</value>,<value>Sports Talk</value>,"<value>7CH5+6GG Boon, Michigan</value>","<value>""The Ticket""</value>",<value>M-F 6A-7P</value>,<value>$30 </value>,,,
WKAJ,"X8X5+WF9 St Johnsville, New York",42.9997875,-74.6912656,"State: NY<br>Market City: Saint Johnsville<br>Frequency: 1120<br>97.9 FM<br>Format: Country<br>Tower: X8X5+WF9 St Johnsville, New York<br>Slogan: ""The Outlaw""<br>Avails: 6A-7P 2HR<br>Spot Rate: $5.00<br>Does not keep CC info.",<value>NY</value>,<value>Saint Johnsville</value>,"<value>1120
97.9 FM</value>",<value>Country</value>,"<value>X8X5+WF9 St Johnsville, New York</value>","<value>""The Outlaw""</value>",<value>6A-7P 2HR</value>,"<value>$5.00
Does not keep CC info.</value>",,,
WKHQ (ROS!!!),"5WJ3+439 East Jordan, Michigan",45.1802875,-85.0972656,"State: MI<br>Market City: Charlevoix<br>Frequency: 105.9 FM<br>Format: Adult Contemporary<br>Tower: 5WJ3+439 East Jordan, Michigan<br>Slogan: ""Northern Michigans Hit Music Channel""<br>Avails: M-F<br>6A - 10A<br>3P - 7P<br>Spot Rate: $42 ",<value>MI</value>,<value>Charlevoix</value>,<value>105.9 FM</value>,<value>Adult Contemporary</value>,"<value>5WJ3+439 East Jordan, Michigan</value>","<value>""Northern Michigans Hit Music Channel""</value>","<value>M-F
6A - 10A
3P - 7P</value>",<value>$42 </value>,,,
WKLQ (ROS - Same slot required),"V24P+6XP Zeeland Charter Township, Michigan",42.8555875,-85.9625469,"State: MI<br>Market City: Whitehall<br>Frequency: 94.5 FM<br>1490 AM<br>Format: Adult Album Alternative<br>Tower: V24P+6XP Zeeland Charter Township, Michigan<br>Slogan: ""The Q 94.5""<br>Avails: 6A-10A<br>3A-7P 2/HR.<br>Spot Rate: $12.00 ",<value>MI</value>,<value>Whitehall</value>,"<value>94.5 FM
1490 AM</value>",<value>Adult Album Alternative</value>,"<value>V24P+6XP Zeeland Charter Township, Michigan</value>","<value>""The Q 94.5""</value>","<value>6A-10A
3A-7P 2/HR.</value>",<value>$12.00 </value>,,,
WKQZ,"RWW5+F43 Mt Forest, Michigan",43.8461375,-84.0922031,"State: MI<br>Market City: Midland<br>Frequency: 93.3 FM<br>Format: Rock<br>Tower: RWW5+F43 Mt Forest, Michigan<br>Slogan: ""Z93 the Rock Station""<br>Avails: 5A-12A<br>Spot Rate: $40.00 ",<value>MI</value>,<value>Midland</value>,<value>93.3 FM</value>,<value>Rock</value>,"<value>RWW5+F43 Mt Forest, Michigan</value>","<value>""Z93 the Rock Station""</value>",<value>5A-12A</value>,<value>$40.00 </value>,,,
WLAW (ROS - Same slot required),"CJCR+Q82 Montague, Michigan",43.4218875,-86.3592344,"State: MI<br>Market City: Whitehall<br>Frequency: 97.5 FM<br>Format: Country<br>Tower: CJCR+Q82 Montague, Michigan<br>Slogan: ""Muskegon Nash Icon""<br>Avails: 6A-10A<br>3A-7P 2/HR.<br>Spot Rate: $12.00 ",<value>MI</value>,<value>Whitehall</value>,<value>97.5 FM</value>,<value>Country</value>,"<value>CJCR+Q82 Montague, Michigan</value>","<value>""Muskegon Nash Icon""</value>","<value>6A-10A
3A-7P 2/HR.</value>",<value>$12.00 </value>,,,
WLCL,"764R+CQP Louisville, Kentucky",38.2560875,-85.7580469,"State: IN<br>Market City: Sellersburg<br>Frequency: 93.9 FM<br>Format: Sports<br>Tower: 764R+CQP Louisville, Kentucky<br>Slogan: ""93.9 The Ville""<br>Avails: 6A-7P 2/HR<br>Spot Rate: $20.00 ",<value>IN</value>,<value>Sellersburg</value>,<value>93.9 FM</value>,<value>Sports</value>,"<value>764R+CQP Louisville, Kentucky</value>","<value>""93.9 The Ville""</value>",<value>6A-7P 2/HR</value>,<value>$20.00 </value>,,,
WLCS (ROS - Same slot required),"8R7W+H39 Muskegon Charter Township, Michigan",43.3139125,-86.1547656,"State: MI<br>Market City: Muskegon<br>Frequency: 98.3 FM<br>Format: Classic Hits<br>Tower: 8R7W+H39 Muskegon Charter Township, Michigan<br>Slogan: ""Classic Hits 98.3""<br>Avails: 6A-10A<br>3A-7P 2/HR.<br>Spot Rate: $12.00 ",<value>MI</value>,<value>Muskegon</value>,<value>98.3 FM</value>,<value>Classic Hits</value>,"<value>8R7W+H39 Muskegon Charter Township, Michigan</value>","<value>""Classic Hits 98.3""</value>","<value>6A-10A
3A-7P 2/HR.</value>",<value>$12.00 </value>,,,
WLIM (formerly WVIP) (ROS!!!),"Q2W5+97H Medford, New York",40.7959375,-72.9917656,"State: NY<br>Market City: New Rochelle<br>Frequency: 1440 AM<br>Format: The Breeze - Classic Hits with soft Adult Contemporary<br>Tower: Q2W5+97H Medford, New York<br>Slogan: ""The Breeze""<br>Avails: ROS 6-10A, Noon-1, 3-7P<br>Spot Rate: $18.00 ",<value>NY</value>,<value>New Rochelle</value>,<value>1440 AM</value>,<value>The Breeze - Classic Hits with soft Adult Contemporary</value>,"<value>Q2W5+97H Medford, New York</value>","<value>""The Breeze""</value>","<value>ROS 6-10A, Noon-1, 3-7P</value>",<value>$18.00 </value>,,,
