CallSign,StationLat,StationLon,Service,RFChannel,LicenseExpirationDate,StatusDate,Status,CommunityCity,CommunityState,FacilityType,Frequency,ActiveInd,PartyName,PartyAddress1,PartyAddress2,PartyCity,PartyZip1,PartyState,PartyPhone
WHPL,40.29725,-86.901389,FM Station,210,08/01/2028,09/19/2001,LICENSED,WEST LAFAYETTE,IN,ED,89.9,Y,THE MOODY BIBLE INSTITUTE OF CHICAGO,820 N LASALLE BOULEVARD,,CHICAGO,60610,IL,(312)329-4438
WDEZ,44.920528,-89.691222,FM Station,270,12/01/2028,05/23/2001,LICENSED,WAUSAU,WI,H,101.9,Y,"WRIG, INC.",904 GRAND AVE.,,WAUSAU,54403,WI,(920)435-3771
KFER,37.012444,-121.974667,FM Station,210,12/01/2029,08/20/2021,LICENSED,SANTA CRUZ,CA,ED,89.9,Y,SANTA CRUZ EDUCATIONAL BROADCASTING FOUNDATION,PO BOX 13,,SANTA CRUZ,95063,CA,(831)475-6651
KCFY,32.642,-114.560222,FM Station,201,10/01/2029,,LICENSED,YUMA,AZ,ED,88.1,Y,"RELEVANT MEDIA, INC.",P.O. BOX 1669,,YUMA,85366,AZ,(928)341-9730
KQKL,40.400333,-91.586,FM Station,237,02/01/2029,08/02/2016,LICENSED,KEOKUK,IA,EDT,95.3,Y,EDUCATIONAL MEDIA FOUNDATION,5700 WEST OAKS BLVD,,ROCKLIN,95765,CA,9162511600
KBAL-FM,30.366333,-103.641,FM Station,212,08/01/2029,03/24/2022,LICENSED,ALPINE,TX,EDT,90.3,N,"HISPANIC FAMILY CHRISTIAN NETWORK, INC.",8330 Lyndon B Johnson Fwy,Suite B310,Dallas,75243,TX,4694345600
KTIJ,34.977556,-99.410083,FM Station,295,06/01/2029,05/18/2000,LICENSED,ELK CITY,OK,H,106.9,Y,"FUCHS RADIO, LLC",P.O. BOX 311,,HOBART,73651,OK,(580)726-5656
WVPB,38.376278,-81.656528,FM Station,203,10/01/2027,,LICENSED,CHARLESTON,WV,ED,88.5,Y,WEST VIRGINIA EDUCATIONAL BROADCASTING AUTHORITY,600 CAPITOL STREET,,CHARLESTON,25301,WV,(304)556-4903
WVPG,39.212306,-81.591528,FM Station,212,10/01/2027,,LICENSED,PARKERSBURG,WV,ED,90.3,Y,WEST VIRGINIA EDUCATIONAL BROADCASTING AUTHORITY,600 CAPITOL STREET,,CHARLESTON,25301,WV,(304)556-4903
WVEP,39.143972,-78.435556,FM Station,205,10/01/2027,,LICENSED,MARTINSBURG,WV,ED,88.9,Y,WEST VIRGINIA EDUCATIONAL BROADCASTING AUTHORITY,600 CAPITOL STREET,,CHARLESTON,25301,WV,(304)556-4903
WTHI-FM,39.465861,-87.403361,FM Station,260,08/01/2028,,LICENSED,TERRE HAUTE,IN,H,99.9,Y,"MIDWEST COMMUNICATIONS, INC.",904 GRAND AVE.,,WAUSAU,54403,WI,(000)000-0000
WRWD-FM,,,FM Station,297,06/01/2022,,LICENSED,HIGHLAND,NY,H,107.3,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,SUITE 501,TULSA,74136,OK,(918)664-4581
KLVB,38.647972,-121.098556,FM Station,258,12/01/2029,07/30/2012,LICENSED,CITRUS HEIGHTS,CA,ED,99.5,Y,EDUCATIONAL MEDIA FOUNDATION,5700 WEST OAKS BLVD,,ROCKLIN,95765,CA,(916)251-1600
KLAN,,,FM Station,228,04/01/2029,,LICENSED,GLASGOW,MT,H,93.5,Y,GLASGOW BROADCASTING CORP.,104 WEST GALLATIN STREET,,LIVINGSTON,59047,MT,(406)222-8230
KBUQ,66.977778,-161.128833,FM Station,220,02/01/2030,02/05/2014,LICENSED,BUCKLAND,AK,ED,91.9,Y,"KOTZEBUE BROADCASTING, INC.",PO BOX 78,396 LAGOON STREET,KOTZEBUE,99752,AK,(907)442-3434
WHWM,,,FM Station,203,,,CP OFF AIR,ROCKLAND,MI,EDT,88.5,Y,"Gospel Opportunities, Inc.",130 CARMEN DRIVE,,Marquette,49855,MI,9062491423
WKTQ,39.444806,-79.528083,FM Station,222,10/01/2027,,LICENSED,OAKLAND,MD,CDT,92.3,Y,"Broadcast Communications, Inc.",P. O. Box 990,,Greensburg,15601,PA,7248537000
WLZV,38.742056,-77.834972,FM Station,232,10/01/2027,,LICENSED,BUCKLAND,VA,EDT,94.3,Y,EDUCATIONAL MEDIA FOUNDATION,5700 WEST OAKS BLVD.,,ROCKLIN,95765,CA,9162511600
WMCM,44.126917,-69.140667,FM Station,277,04/01/2030,12/21/2001,LICENSED,ROCKLAND,ME,CDT,103.3,Y,"BLUEBERRY BROADCASTING, LLC",,,KENNEBUNKPORT,4046,ME,2079678094
WMDR-FM,44.250611,-70.422833,FM Station,205,04/01/2030,01/29/2015,LICENSED,OAKLAND,ME,ED,88.9,Y,"LIGHT OF LIFE MINISTRIES, INC.",160 RIVERSIDE DRIVE,,AUGUSTA,4330,ME,(207)622-1340
WRPS,42.128417,-70.916139,FM Station,202,04/01/2030,02/06/2013,LICENSED,ROCKLAND,MA,ED,88.3,Y,ROCKLAND PUBLIC SCHOOLS,34 MACKINLAY WAY,,ROCKLAND,2370,MA,
WRLN,47.831889,-95.417222,FM Station,287,04/01/2029,01/31/2022,LICENSED,RED LAKE,MN,H,105.3,Y,RED LAKE NATION,15484 MIGIZI DRIVE,P.O. BOX 550,RED LAKE,56671,MN,(218)679-3341
KJHK,38.953889,-95.269972,FM Station,214,06/01/2029,04/03/2006,LICENSED,LAWRENCE,KS,EDT,90.7,Y,THE UNIVERSITY OF KANSAS,1301 JAYHAWK BLVD,ROOM 476,LAWRENCE,66045,KS,7858644848
KMUD,40.120139,-123.693083,FM Station,216,12/01/2029,02/12/2001,LICENSED,GARBERVILLE,CA,ED,91.1,Y,REDWOOD COMMUNITY RADIO,P.O. BOX 135,,REDWAY,95560,CA,
WAMC-FM,42.637306,-73.168167,FM Station,212,06/01/2022,,LICENSED,ALBANY,NY,ED,90.3,Y,WAMC,318 CENTRAL AVENUE,,ALBANY,12206,NY,(518)465-5233
KXGX,,,FM Station,219,,,CP OFF AIR,HEBER-OVERGAARD,AZ,EDT,91.7,Y,NEW PATH COMMUNICATIONS,PO BOX 2770,,SHOW LOW,85902,AZ,9288929770
WPXC,41.689,-70.346417,FM Station,275,04/01/2030,,LICENSED,HYANNIS,MA,CDT,102.9,Y,Coxswain Media LLC,253 Old Stockbridge Road,,Lenox,1240,MA,9178463930
WPTQ,36.980611,-86.10275,FM Station,287,08/01/2028,,LICENSED,GLASGOW,KY,H,105.3,Y,"NEWBERRY BROADCASTING, INC.",P.O. BOX 1505,,GLASGOW,42142,KY,
WONS,,,FM Station,218,,,CP OFF AIR,NEW CASTLE,IN,EDT,91.5,Y,Olivet Nazarene University,One University Avenue,,Bourbonnais,60914,IL,8159395037
WPHS,42.516694,-83.009917,FM Station,206,10/01/2028,,LICENSED,WARREN,MI,ED,89.1,Y,WARREN CONSOLIDATED SCHOOLS,30333 HOOVER ROAD,,WARREN,48093,MI,
WJFL,32.91375,-82.884861,FM Station,270,04/01/2028,,LICENSED,TENNILLE,GA,CDT,101.9,Y,"MIDDLE GEORGIA BROADCASTING, INC.",BOX 36,,TENNILLE,31089,GA,4782902398
WOKH,37.695333,-85.318306,FM Station,274,08/01/2028,,LICENSED,SPRINGFIELD,KY,H,102.7,Y,"BARDSTOWN RADIO TEAM, LLC",106 SOUTH 3RD STREET,,BARDSTOWN,40004,KY,(502)348-3943
KQAV,34.874139,-118.274222,FM Station,228,12/01/2029,,LICENSED,ROSAMOND,CA,H,93.5,Y,HIGH DESERT BROADCASTING LLC,715 BROADWAY,SUITE 320,SANTA MONICA,90401,CA,(310)451-4430
KCII-FM,41.305028,-91.710167,FM Station,291,02/01/2029,,LICENSED,WASHINGTON,IA,H,106.1,Y,"HOME BROADCASTING, INC.",P.O. BOX 31,1610 N. LINCOLN,KNOXVILLE,50138,IA,
KPNT,,,FM Station,289,12/01/2028,,LICENSED,COLLINSVILLE,IL,CDT,105.7,Y,"St. Louis FCC License Sub, LLC","3415 University Avenue, West",,St. Paul,55114,MN,6516424334
KQMA,39.617222,-99.298972,FM Station,223,06/01/2029,,LICENSED,PHILLIPSBURG,KS,CDT,92.5,Y,"ROBERT D. YATES, JR. D/B/A RTY BROADCASTING",P.O. BOX 548,,PHILLIPSBURG,67661,KS,7855437310
WUIE,,,FM Station,286,08/01/2028,09/13/2001,LICENSED,LAKESITE,TN,H,105.1,Y,American Family Association,PO Drawer 2440,,Tupelo,38803,MS,(662)844-5036
KENE,36.683083,-104.414417,FM Station,201,10/01/2029,04/10/2014,LICENSED,EAGLE TAIL,NM,ED,88.1,Y,EASTERN NEW MEXICO UNIVERSITY,52 BROADCAST CENTER,,PORTALES,88130,NM,(505)562-2112
KCAF-FM,,,FM Station,221,08/01/2029,06/14/2002,LICENSED,KENEDY,TX,H,92.1,Y,"RUFUS RESOURCES, LLC",210 NORTH PANNA MARIA AVENUE,,KARNES CITY,78118,TX,(210)744-3787
WRSF,,,FM Station,289,12/01/2027,,LICENSED,COLUMBIA,NC,H,105.7,Y,"EAST CAROLINA RADIO, INC.",P.O. BOX 1800,,RALEIGH,27602,NC,
WTYD,37.49375,-76.441333,FM Station,222,10/01/2027,,LICENSED,DELTAVILLE,VA,CDT,92.3,Y,"DAVIS MEDIA, LLC",5000 NEW POINT ROAD,SUITE 2201,WILLIAMSBURG,23188,VA,7575651079
KFAE-FM,46.095139,-119.195833,FM Station,206,02/01/2030,10/26/2001,LICENSED,RICHLAND,WA,ED,89.1,Y,WASHINGTON STATE UNIVERSITY,EDUCATIONAL TELECOMMUNICATIONS AND TECH.,"MURROW COMM CENTER, P.O. BOX 642530",PULLMAN,99164,WA,(509)335-6511
KVVR,47.614417,-111.348306,FM Station,250,04/02/2029,10/11/2001,LICENSED,DUTTON,MT,CDT,97.9,Y,Townsquare License LLC,1 Manhattanville Road,Suite 202,Purchase,10577,NY,2038610900
KRFA-FM,46.681556,-116.971278,FM Station,219,10/01/2029,,LICENSED,MOSCOW,ID,ED,91.7,Y,WASHINGTON STATE UNIVERSITY,EDUCATIONAL TELECOMMUNICATIONS AND TECH.,"MURROW COMM CENTER, P.O. BOX 642530",PULLMAN,99164,WA,(509)335-6511
WPMU,,,FM Station,208,,,CP OFF AIR,DUBOIS,PA,EDT,89.5,Y,"Central Pennsylvania Christian Institute, Inc.",2020 Cato Avenue,,State College,16801,PA,4195605524
WKOA,40.503361,-86.729722,FM Station,287,08/01/2028,,LICENSED,LAFAYETTE,IN,H,105.3,Y,"NEUHOFF MEDIA LAFAYETTE, LLC",PO BOX 418,,JUPITER,33468,FL,(561)745-1188
KLCN,,,FM Station,211,,,CP OFF AIR,CHILDRESS,TX,EDT,90.1,Y,LIBERTAD EN CRISTO MINISTRIES,,,Liberal,67905,KS,6206268282
WXTQ,39.355056,-82.092083,FM Station,288,10/01/2028,,LICENSED,ATHENS,OH,H,105.5,Y,"WATH, INC.",300 NORTH COLUMBUS ROAD,,ATHENS,45701,OH,
WUUF,43.268111,-77.160806,FM Station,278,06/01/2022,,LICENSED,SODUS,NY,H,103.5,Y,WAYNCO RADIO,P.O. BOX 1420,,NEWARK,14513,NY,
KBOE-FM,41.320833,-92.64575,FM Station,285,02/01/2029,,LICENSED,OSKALOOSA,IA,H,104.9,Y,JOMAST CORPORATION,P.O. BOX 380,,OSKALOOSA,52577,IA,
KNWY,46.532361,-120.512833,FM Station,212,02/01/2030,,LICENSED,YAKIMA,WA,ED,90.3,Y,WASHINGTON STATE UNIVERSITY,PO BOX 642530,,PULLMAN,99164,WA,(509)335-6536
KXAH,,,FM Station,209,,,CP OFF AIR,LAKE ARTHUR,NM,EDT,89.7,Y,"International Scripture Ministries, Inc.",7950 Legacy Drive,Suite 400,Plano,75024,TX,5054005511
KOLD-FM,55.206667,-162.714722,FM Station,220,02/01/2030,07/08/2021,LICENSED,COLD BAY,AK,ED,91.9,Y,"ALEUTIAN PENINSULA BROADCASTING, INC.",PO BOX 328,,SAND POINT,99661,AK,(907)383-5737
WQSR,39.386472,-76.730806,FM Station,274,10/01/2027,,LICENSED,BALTIMORE,MD,CDT,102.7,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,SUITE 501,TULSA,74136,OK,9186644581
WKDO-FM,37.306167,-84.917167,FM Station,254,08/01/2028,,LICENSED,LIBERTY,KY,CDT,98.7,Y,"SHORELINE COMMUNICATIONS, INC.",P.O. BOX 927,,COLUMBIA,42728,KY,2703847979
KNWO,46.069028,-116.465972,FM Station,211,10/01/2029,,LICENSED,COTTONWOOD,ID,ED,90.1,Y,WASHINGTON STATE UNIVERSITY,EDWARD R MURROW COLLEGE OF COMMUNICATION,P.O. BOX 642530,PULLMAN,99164,WA,(509)335-6511
KSEG,38.647972,-121.478278,FM Station,245,12/01/2029,11/08/2001,LICENSED,SACRAMENTO,CA,CDT,96.9,Y,"Audacy License, LLC",2400 MARKET STREET,4TH FLOOR,PHILADELPHIA,19103,PA,6106605610
KTMB,61.119444,-149.897472,FM Station,271,02/01/2030,06/16/2000,LICENSED,ANCHORAGE,AK,CDT,102.1,Y,OMG FCC LICENSES LLC,P.O. BOX 99827,,SEATTLE,98139,WA,4258911200
WVTC,43.935333,-72.602306,FM Station,214,04/01/2030,10/16/2008,LICENSED,RANDOLPH CENTER,VT,ED,90.7,Y,VERMONT STATE COLLEGES,DEAN OF THE COLLEGE - VERMONT TECHNICAL,P.O. BOX 500,RANDOLPH CENTER,5061,VT,(802)728-1000
WBRP,30.474083,-91.060667,FM Station,297,06/01/2028,,LICENSED,BAKER,LA,H,107.3,Y,"GUARANTY BROADCASTING COMPANY OF BATON ROUGE, LLC",929 GOVERNMENT ST STE B,,BATON ROUGE,70802,LA,(225)383-0355
WLER-FM,40.897556,-79.889194,FM Station,249,08/01/2030,,LICENSED,BUTLER,PA,CDT,97.7,Y,"St. Barnabas Broadcasting, Inc.",5850 Meridian Rd,,Gibsonia,15044,PA,7246879355
WHRN,,,FM Station,202,,,CP OFF AIR,NEWARK,OH,EDT,88.3,Y,Strong Tower Christian Media,1205 Whitefield Circle,,Xenia,45285,OH,9374241640
WXBP,45.057278,-69.190333,FM Station,212,04/01/2030,01/06/2012,LICENSED,CORINTH,ME,EDT,90.3,Y,"RELEVANT RADIO, INC.",680 Barclay Boulevard,,Lincolnshire,60069,IL,8772910123
WFGH,38.132861,-82.593472,FM Station,214,10/01/2027,06/30/2018,LICENSED,FORT GAY,WV,ED,90.7,Y,WAYNE COUNTY BOARD OF EDUCATION,P.O. BOX 410,,FORT GAY,25514,WV,
WAZX-FM,34.508972,-83.807389,FM Station,270,04/01/2028,09/12/2009,LICENSED,CLEVELAND,GA,H,101.9,Y,"WAZX-FM, INC",6320 SUNBRIAR DR.,,CUMMING,30040,GA,(678)772-7038
WBEE-FM,43.177,-77.477194,FM Station,223,06/01/2030,,LICENSED,ROCHESTER,NY,CDT,92.5,Y,"Audacy License, LLC",2400 MARKET STREET,4TH FLOOR,PHILADELPHIA,19103,PA,6106605610
WKVR-FM,40.500056,-78.014167,FM Station,222,08/01/2022,,LICENSED,HUNTINGDON,PA,ED,92.3,N,JUNIATA COLLEGE,1700 MOORE STREET,,HUNTINGDON,16652,PA,
KAXR,36.925583,-97.026417,FM Station,217,06/01/2029,02/28/2001,LICENSED,ARKANSAS CITY,KS,ED,91.3,Y,AMERICAN FAMILY ASSOCIATION,PO BOX 2440,,TUPELO,38801,MS,(662)844-8888
WBVR-FM,36.843111,-86.258333,FM Station,244,08/01/2028,,LICENSED,AUBURN,KY,H,96.7,Y,"FOREVER COMMUNICATIONS, INC.",1919 SCOTTSVILLE ROAD,,BOWLING GREEN,42104,KY,(270)843-3333
WMYK,40.629472,-86.041667,FM Station,253,08/01/2028,,LICENSED,PERU,IN,H,98.5,Y,"HOOSIER AM/FM, LLC",275 GROVE STREET,BLDG 2-400,NEWTON,2466,MA,(617)663-4938
KSEZ,42.482194,-96.258611,FM Station,250,02/01/2029,,LICENSED,SIOUX CITY,IA,CDT,97.9,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,SUITE 501,TULSA,74136,OK,9186644581
KFLX,34.71475,-112.526556,FM Station,223,10/01/2029,07/30/2010,LICENSED,CHINO VALLEY,AZ,CDT,92.5,Y,"Stone Canyon of Flagstaff, LLC",PO Box 1508,,Mt. Vernon,62864,IL,6182423500
WWKS,18.359167,-64.971667,FM Station,241,02/01/2028,08/06/2014,LICENSED,CHARLOTTE AMALIE,VI,CDT,96.1,Y,"GARK, LLC",P.O. BOX 302179,,ST. THOMAS,803,VI,3407763291
WEDW-FM,41.047028,-73.526222,FM Station,203,04/01/2030,,LICENSED,STAMFORD,CT,ED,88.5,Y,"CONNECTICUT PUBLIC BROADCASTING, INC",1049 ASYLUM AVENUE,,HARTFORD,6105,CT,(860)275-7350
KQRT,36.333306,-115.362222,FM Station,286,10/01/2021,,LICENSED,LAS VEGAS,NV,CDT,105.1,Y,"ENTRAVISION HOLDINGS, LLC",2425 Olympic  Boulevard,Suite 700,SANTA MONICA,90404,CA,3104473870
KWDO,36.735222,-119.786806,FM Station,288,12/01/2029,12/20/2001,LICENSED,SAN JOAQUIN,CA,CDT,105.5,Y,ONE PUTT,ATTN: John Ostlund,1415 FULTON STREET,FRESNO,93721,CA,5594975118
WFHU,35.461194,-88.680889,FM Station,218,08/01/2028,07/27/2000,LICENSED,HENDERSON,TN,ED,91.5,Y,FREED-HARDEMAN UNIVERSITY,158 EAST MAIN STREET,,HENDERSON,38340,TN,
WOBO,39.062,-84.097167,FM Station,204,10/01/2028,,LICENSED,BATAVIA,OH,ED,88.7,Y,"EDUCATIONAL COMMUNITY RADIO, INC.",PO BOX 338,,OWENSVILLE,45160,OH,
WMNP,41.174556,-71.571722,FM Station,257,04/01/2022,10/10/2001,LICENSED,BLOCK ISLAND,RI,H,99.3,Y,"3G BROADCASTING, INC.",ATTN: BONNIE GOMES,23   J.T. CONNELL HIGHWAY,NEWPORT,2840,RI,(401)846-1540
WVBW-FM,,,FM Station,263,10/01/2027,,LICENSED,NORFOLK,VA,CDT,100.5,Y,MHR LICENSE LLC,900 LASKIN ROAD,,VIRGINIA BEACH,23451,VA,7579379800
WAWX,37.462222,-79.141944,FM Station,269,10/01/2027,,LICENSED,LYNCHBURG,VA,EDT,101.7,Y,EDUCATIONAL MEDIA FOUNDATION,5700 WEST OAKS BOULEVARD,,ROCKLIN,95765,CA,9162511600
WYSC,32.057111,-82.865417,FM Station,274,04/01/2028,,LICENSED,MCRAE,GA,H,102.7,Y,"CINECOM BROADCASTING SYSTEMS, INC.",200 N JEFFERSON ST NE,,MILLEDGEVILLE,31061,GA,
WTKP,29.819361,-85.259361,FM Station,228,02/01/2020,10/12/2019,LICENSED AND REDUCED POWER,PORT ST. JOE,FL,CDT,93.5,Y,"OMNI BROADCASTING, LLC",1320 Miracle Strip Parkway,Suite 200,Ft. Walton Beach,35248,FL,8503753375
KCVH-FM,,,FM Station,201,,,CP OFF AIR,HERMITAGE,MO,EDT,88.1,Y,"COMMUNITY BROADCASTING, INC.",10550 BARKLEY,SUITE 100,OVERLAND PARK,66212,KS,9136427770
WCYN-FM,38.410917,-84.318556,FM Station,272,08/01/2028,03/05/2018,LICENSED,CYNTHIANA,KY,H,102.3,N,CUMULUS LICENSING LLC,"3280 PEACHTREE ROAD, NW",SUITE 2200,ATLANTA,30305,GA,(404)949-0700
KLHH,,,FM Station,214,12/20/2024,,CP OFF AIR,HANAPEPE,HI,EDT,90.7,Y,Educational Media Foundation,5700 West Oaks Blvd.,,Rocklin,95765,CA,9162511600
KHPQ,35.643667,-92.459306,FM Station,221,06/01/2028,,LICENSED,CLINTON,AR,H,92.1,Y,KING-SULLIVAN RADIO,PO BOX 1349,,CLINTON,72031,AR,(501)745-4474
KDKE,46.789083,-92.119333,FM Station,273,12/01/2028,,LICENSED,SUPERIOR,WI,H,102.5,Y,"MIDWEST COMMUNICATIONS, INC.",904 GRAND AVE.,,WAUSAU,54403,WI,(715)842-1437
WEFT,40.181139,-88.317556,FM Station,211,12/01/2028,,LICENSED,CHAMPAIGN,IL,ED,90.1,Y,PRAIRIE AIR INCORPORATED,WEFT,P.O. BOX 1223,CHAMPAIGN,61824,IL,(217)359-9338
KBUS,33.748444,-95.414667,FM Station,270,08/01/2029,,LICENSED,PARIS,TX,H,101.9,Y,"EAST TEXAS BROADCASTING, INC.",2810 PINE MILLE ROAD,,PARIS,75460,TX,(318)798-7816
KPQ-FM,47.274306,-120.426194,FM Station,271,02/01/2030,06/27/2000,LICENSED,WENATCHEE,WA,CDT,102.1,Y,"Townsquare License, LLC",1 Manhattanville Road,Suite 202,Purchase,10577,NY,2038610900
KWTS,34.9895,-101.912972,FM Station,216,08/01/2029,08/25/2016,LICENSED,CANYON,TX,ED,91.1,Y,WEST TEXAS A&M UNIVERSITY,WT BOX 60747,,CANYON,79016,TX,(806)651-2807
KXRS,34.028083,-116.976694,FM Station,289,12/01/2029,,LICENSED,HEMET,CA,CDT,105.7,Y,"LAZER LICENSES, LLC",200 SOUTH A STREET,SUITE 400,OXNARD,93030,CA,8052402070
KCLT,34.515639,-90.670361,FM Station,285,06/01/2028,,LICENSED,WEST HELENA,AR,H,104.9,Y,WEST HELENA BROADCASTERS INC.,PO BOX 2870,,WEST HELENA,72390,AR,
WIRQ,43.216444,-77.597222,FM Station,215,06/01/2022,,LICENSED,ROCHESTER,NY,ED,90.9,Y,WEST IRONDEQUOIT CENTRAL SCHOOL DISTRICT,260 COOPER ROAD,,ROCHESTER,14617,NY,
WMOD,35.250056,-88.891167,FM Station,244,08/01/2028,03/14/2007,LICENSED,BOLIVAR,TN,H,96.7,Y,"WMOD, INC.",PO BOX 438,,BOLIVAR,38008,TN,
WVWV,38.494806,-82.200694,FM Station,210,10/01/2027,,LICENSED,HUNTINGTON,WV,ED,89.9,Y,WEST VIRGINIA EDUCATIONAL BROADCASTING AUTHORITY,600 CAPITOL STREET,,CHARLESTON,25301,WV,(304)556-4903
WVNP,40.216167,-80.558389,FM Station,210,10/01/2027,,LICENSED,WHEELING,WV,ED,89.9,Y,WEST VIRGINIA EDUCATIONAL BROADCASTING AUTHORITY,600 CAPITOL STREET,,CHARLESTON,25301,WV,(304)556-4903
WVXS,39.315861,-78.718583,FM Station,281,10/01/2027,,LICENSED,ROMNEY,WV,H,104.1,Y,SOUTH BRANCH CAREER AND TECHNICAL CENTER,401 PIERPONT STREET,,PETERSBURG,26847,WV,(304)257-1331
WAOY,30.70825,-89.085056,FM Station,219,06/01/2028,,LICENSED,GULFPORT,MS,ED,91.7,Y,AMERICAN FAMILY ASSOCIATION,PO BOX 2440,,TUPELO,38801,MS,(662)844-8888
KGDN,46.09625,-119.194444,FM Station,267,02/01/2030,04/21/2000,LICENSED,PASCO,WA,H,101.3,Y,THOMAS W. READ,P.O. BOX 31000,,SPOKANE,99223,WA,
WJUC,41.641694,-83.90075,FM Station,297,10/01/2028,,LICENSED,SWANTON,OH,CDT,107.3,Y,"FLEMING STREET COMMUNICATIONS, INC.",5902 SOUTHWYCK BLVD,,TOLEDO,43614,OH,4198619582
WWPH,40.305639,-74.620694,FM Station,300,06/01/2030,,LICENSED,PRINCETON JUNCTION,NJ,EDT,107.9,Y,WEST WINDSOR-PLAINSBORO REGIONAL SCHOOL DISTRICT,346 Clarksville Road,,PRINCETON JUNCTION,8550,NJ,6097165050
KSUP,58.301056,-134.442306,FM Station,292,02/01/2030,,LICENSED,JUNEAU,AK,H,106.3,Y,"JUNEAU ALASKA COMMUNICATIONS, LLC",3161 CHANNEL DRIVE,,JUNEAU,99801,AK,(907)583-3680
WVWC,38.990083,-80.219222,FM Station,221,10/01/2027,09/21/2015,LICENSED,BUCKHANNON,WV,ED,92.1,Y,WEST VIRGINIA WESLEYAN COLLEGE,"BOX 167, WVWC",,BUCKHANNON,26201,WV,
WVAQ,39.608389,-79.985056,FM Station,270,10/01/2027,,LICENSED,MORGANTOWN,WV,H,101.9,Y,WEST VIRGINIA RADIO CORPORATION,1251 EARL L CORE ROAD,,MORGANTOWN,26505,WV,
KCVI,43.500722,-112.66275,FM Station,268,10/01/2029,,LICENSED,BLACKFOOT,ID,CDT,101.5,Y,"RIVERBEND COMMUNICATIONS, LLC",400 W. SUNNYSIDE ROAD,,IDAHO FALLS,83402,ID,2085233722
WQXW,41.152028,-73.785667,FM Station,212,06/01/2030,11/11/2012,LICENSED,OSSINING,NY,EDT,90.3,Y,NEW YORK PUBLIC RADIO,160 VARICK STREET,7TH FLOOR,NEW YORK,10013,NY,6468294578
WEGM,18.146611,-66.981278,FM Station,236,02/01/2028,09/01/2018,LICENSED,SAN GERMAN,PR,H,95.1,Y,"SPANISH BROADCASTING SYSTEM HOLDING COMPANY, INC.",7007 NW 77TH AVE.,,MIAMI,33166,FL,(305)441-6901
WZLO,45.093778,-69.082806,FM Station,276,04/01/2030,,LICENSED,DOVER-FOXCROFT,ME,H,103.1,Y,THE ZONE CORPORATION,861 BROADWAY,,BANGOR,4401,ME,(207)990-2800
KQBK,35.183694,-94.129083,FM Station,284,06/01/2028,06/14/2002,LICENSED,WALDRON,AR,H,104.7,Y,"PHARIS BROADCASTING, INC.",P. O. BOX 908,323 NORTH GREENWOOD AVE.,FT. SMITH,72902,AR,(479)242-1047
KUAC,64.879833,-148.054667,FM Station,210,02/01/2022,,LICENSED,FAIRBANKS,AK,ED,89.9,Y,UNIVERSITY OF ALASKA,P.O. BOX 755620,,FAIRBANKS,99775,AK,
WLLZ,42.331972,-83.044917,FM Station,294,10/01/2028,,LICENSED,DETROIT,MI,CDT,106.7,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,SUITE 501,TULSA,74136,OK,9186644581
KFPR,40.602639,-122.650556,FM Station,205,12/01/2029,12/10/2018,LICENSED,REDDING,CA,ED,88.9,Y,CHICO STATE ENTERPRISES,NORTH STATE PUBLIC RADIO,"35 MAIN STREET, SUITE 101",CHICO,95928,CA,(530)898-6100
KXNA,36.180056,-94.085472,FM Station,285,06/01/2028,,LICENSED,SPRINGDALE,AR,H,104.9,Y,ELIZABETH MARQUIS,472875 E. 715 ROAD,,WESTVILLE,74965,OK,(479)226-3764
WXCV,28.834417,-82.659278,FM Station,237,02/01/2028,03/30/2000,LICENSED,HOMOSASSA SPRINGS,FL,H,95.3,Y,"WGUL-FM, Inc.",13825 US Highway 19,Suite 400,Hudson,34667,FL,(727)697-1063
WZQS,35.439806,-83.119583,FM Station,213,12/01/2027,09/23/2021,LICENSED,CULLOWHEE,NC,ED,90.5,Y,"WESTERN NORTH CAROLINA PUBLIC RADIO, INC.",73 BROADWAY,,ASHEVILLE,28801,NC,(828)210-4800
KNAA,34.061722,-109.906778,FM Station,214,10/01/2029,,LICENSED,SHOW LOW,AZ,ED,90.7,Y,ARIZONA BOARD OF REGENTS,P.O. BOX 5764,,FLAGSTAFF,86011,AZ,
WBOR,43.905889,-69.963083,FM Station,216,04/01/2030,02/01/2021,LICENSED,BRUNSWICK,ME,ED,91.1,Y,BOWDOIN COLLEGE,5600 COLLEGE STATION,,BRUNSWICK,4011,ME,(207)725-3092
WRUV,44.480306,-73.2015,FM Station,211,04/01/2030,,LICENSED,BURLINGTON,VT,ED,90.1,Y,THE UNIVERSITY OF VERMONT,BILLINGS STUDENT CENTER,4TH FLOOR,BURLINGTON,5405,VT,
WDBQ-FM,42.400556,-90.39875,FM Station,298,12/01/2028,,LICENSED,GALENA,IL,CDT,107.5,Y,"Townsquare License, LLC",1 Manhattanville Road,Suite 202,Purchase,10577,NY,2038610900
